Time,SetPoint,KP,KI,KD,Timer,FeedBack,Output,Difficulty,Difficulty2,Difficulty3
0.03889727592468262,95,0.2,0.01,0.001,5,90.2421875,0.9620296875000001,4,3.9620296875000003,4
5.149714708328247,95,0.2,0.01,0.001,5,90.66796875,0.9705937500000001,5,4.9326234375,5
10.503777980804443,95,0.2,0.01,0.001,5,91.1171875,0.89401640625,5,5,5
15.759144306182861,95,0.2,0.01,0.001,5,91.15234375,0.8119335937500001,5,5,5
21.015421628952026,95,0.2,0.01,0.001,5,91.13671875,0.81268046875,5,5,5
26.4895076751709,95,0.2,0.01,0.001,5,91.42578125,0.8235421875000001,5,5,5
31.78851866722107,95,0.2,0.01,0.001,5,91.23828125,0.7728171875,5,5,5
36.861366987228394,95,0.2,0.01,0.001,5,91.2421875,0.8179359375000002,5,5,5
42.10113286972046,95,0.2,0.01,0.001,5,91.6484375,0.82463203125,5,5,5
47.29811453819275,95,0.2,0.01,0.001,5,92.95703125,0.7500046875,5,5,5
52.656216621398926,95,0.2,0.01,0.001,5,94.6640625,0.4921914062500001,5,5,5
57.77949094772339,95,0.2,0.01,0.001,5,95.8203125,0.15137734375,5,5,5
63.088375091552734,95,0.2,0.01,0.001,5,96.578125,-0.081403125,5,4.918596875,5
68.14964127540588,95,0.2,0.01,0.001,5,96.7734375,-0.23604218750000003,5,4.682554687500001,5
73.41486024856567,95,0.2,0.01,0.001,5,96.6875,-0.27853906250000005,5,4.404015625,4
78.67251491546631,95,0.2,0.01,0.001,5,96.26953125,-0.2646703125,5,4.139345312500001,4
83.99372005462646,95,0.2,0.01,0.001,5,95.3359375,-0.18354921875,4,3.9557960937500005,4
89.248051404953,95,0.2,0.01,0.001,5,94.7890625,0.002600781250000008,4,3.9583968750000005,4
94.33697700500488,95,0.2,0.01,0.001,5,94.1640625,0.11232031249999999,5,4.0707171875000006,4
99.61158561706543,95,0.2,0.01,0.001,5,93.6171875,0.23900781250000003,5,4.309725,4
104.84553146362305,95,0.2,0.01,0.001,5,93.08984375,0.3511328125,5,4.660857812500001,5
109.92373394966125,95,0.2,0.01,0.001,5,92.8515625,0.46041796875,5,5,5
115.18116331100464,95,0.2,0.01,0.001,5,92.96875,0.51231328125,5,5,5
120.40212607383728,95,0.2,0.01,0.001,5,92.88671875,0.4928671875,5,5,5
125.72843146324158,95,0.2,0.01,0.001,5,93.15234375,0.51353984375,5,5,5
131.0008578300476,95,0.2,0.01,0.001,5,93.140625,0.46404062500000004,5,5,5
136.25447607040405,95,0.2,0.01,0.001,5,93.4765625,0.47015859375,5,5,5
141.47394490242004,95,0.2,0.01,0.001,5,92.2734375,0.4059484375,5,5,5
146.5992043018341,95,0.2,0.01,0.001,5,91.7734375,0.6523343749999999,5,5,5
151.9882173538208,95,0.2,0.01,0.001,5,90.79296875,0.758646875,5,5,5
157.26360273361206,95,0.2,0.01,0.001,5,90.08984375,0.96325078125,5,5,5
162.57912921905518,95,0.2,0.01,0.001,5,89.35546875,1.113640625,5,5,5
167.90519332885742,95,0.2,0.01,0.001,5,89.40625,1.2718109375,5,5,5
173.1112928390503,95,0.2,0.01,0.001,5,90.328125,1.2726851562500003,5,5,5
178.3649230003357,95,0.2,0.01,0.001,5,91.48046875,1.0974796875000001,5,5,5
183.6959228515625,95,0.2,0.01,0.001,5,92.82421875,0.8740039062500001,5,5,5
188.99774527549744,95,0.2,0.01,0.001,5,93.86328125,0.6095671874999999,5,5,5
194.31608939170837,95,0.2,0.01,0.001,5,94.02734375,0.4040890625,5,5,5
199.58535623550415,95,0.2,0.01,0.001,5,93.546875,0.3733968750000001,5,5,5
204.77139568328857,95,0.2,0.01,0.001,5,92.97265625,0.47252578125000005,5,5,5
209.84752988815308,95,0.2,0.01,0.001,5,92.34375,0.59144296875,5,5,5
215.10346674919128,95,0.2,0.01,0.001,5,92.45703125,0.72254765625,5,5,5
220.3125913143158,95,0.2,0.01,0.001,5,91.3046875,0.70482890625,5,5,5
225.57868576049805,95,0.2,0.01,0.001,5,91.22265625,0.94294140625,5,5,5
230.82957220077515,95,0.2,0.01,0.001,5,91.12109375,0.9666882812500001,5,5,5
236.12175631523132,95,0.2,0.01,0.001,5,91.296875,0.9947625000000001,5,5,5
241.39065194129944,95,0.2,0.01,0.001,5,92.07421875,0.9669570312500001,5,5,5
246.70391869544983,95,0.2,0.01,0.001,5,91.96875,0.81721953125,5,5,5
